Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
5,2.0,10,32,5.0,5.662441253662109e-07,114,201326592,3.5341064275641004e-07,7.790776079760118e-07
5,2.0,10,32,5.5,1.1920928955078125e-07,24,201326592,0.0,2.3923482232895e-07
5,2.0,10,48,4.0,2.1785497665405273e-05,731,33554432,1.811116087050711e-05,2.5459834460303436e-05
5,2.0,10,48,4.5,4.380941390991211e-06,441,100663296,3.463733246534821e-06,5.298149535447601e-06
5,2.0,10,48,5.0,4.271666208902995e-07,86,201326592,2.4245909445834103e-07,6.11874147322258e-07
5,2.0,10,48,5.5,5.463759104410807e-08,11,201326592,0.0,1.3781696229004694e-07
5,2.0,10,64,4.0,1.9669532775878906e-05,660,33554432,1.6212410953877275e-05,2.3126654597880538e-05
5,2.0,10,64,4.5,3.7997961044311523e-06,510,134217728,3.0603471890363175e-06,4.539245019825987e-06
5,2.0,10,64,5.0,7.152557373046875e-07,144,201326592,4.625285291150493e-07,9.679829454943256e-07
5,2.0,10,64,5.5,7.947285970052083e-08,16,201326592,6.620269330858916e-09,1.5232545007018274e-07
5,2.5,10,24,4.0,5.266070365905762e-05,1767,33554432,4.7635885936989894e-05,5.768552138112534e-05
5,2.5,10,24,4.5,9.47713851928711e-06,636,67108864,8.058343479482822e-06,1.0895933559091397e-05
5,2.5,10,24,5.0,1.3709068298339844e-06,276,201326592,1.050137038786364e-06,1.6916766208816047e-06
5,2.5,10,24,5.5,9.437402089436849e-08,19,201326592,2.3500102265416614e-08,1.6524793952332037e-07
5,2.5,10,32,4.0,2.3573637008666992e-05,791,33554432,1.9869144250069113e-05,2.727812976726487e-05
5,2.5,10,32,4.5,3.6731362342834473e-06,493,134217728,3.0127318161319853e-06,4.33354065243491e-06
5,2.5,10,32,5.0,4.818042119344076e-07,97,201326592,3.004653769689179e-07,6.631430468998973e-07
5,2.5,10,32,5.5,7.450580596923828e-08,15,201326592,0.0,1.5177784350210203e-07
5,2.5,10,48,4.0,1.811981201171875e-05,608,33554432,1.4843073611940221e-05,2.1396550411497277e-05
